emp_no,first_name,last_name,dept_no
10001,Georgi,Facello,d005
10004,Chirstian,Koblick,d004
10009,Sumant,Peac,d006
10018,Kazuhide,Peha,d004
10018,Kazuhide,Peha,d005
10035,Alain,Chappelet,d004
10053,Sanjiv,Zschoche,d007
10058,Berhard,McFarlin,d001
10066,Kwee,Schusler,d005
10067,Claudi,Stavenow,d006
10070,Reuven,Garigliano,d005
10070,Reuven,Garigliano,d008
10072,Hironoby,Sidou,d005
10076,Erez,Ritzmann,d005
10088,Jungsoon,Syrzycki,d007
10088,Jungsoon,Syrzycki,d009
10100,Hironobu,Haraldson,d003
10103,Akemi,Birch,d005
10126,Kayoko,Valtorta,d009
10129,Armond,Peir,d005
10130,Nishit,Casperson,d004
10134,Diederik,Siprelle,d004
10134,Diederik,Siprelle,d005
10138,Perry,Shimshoni,d006
10150,Zhenbing,Perng,d005
10153,Heekeun,Majewski,d005
10157,Nigel,Aloisi,d005
10198,Pranav,Furedi,d005
10215,Xiaobin,Duclos,d007
10224,Leon,Trogemann,d004
10233,Lein,Vendrig,d003
10258,Basil,Ishibashi,d005
10272,Yishai,Cannane,d002
10282,Hercules,Benzmuller,d004
10283,Kauko,Birjandi,d005
10326,Masali,Czap,d008
10340,Djelloul,Laventhal,d001
10347,Pradeep,Kaminger,d008
10355,Satyanarayana,Cochrane,d007
10356,Vasilis,Standera,d008
10364,Nakhoon,Dengi,d004
10372,Anneli,Frijda,d004
10387,Parto,Wrigley,d009
10396,Sibyl,Rahier,d005
10402,Volkmar,Ebeling,d006
10404,Prodip,Rosti,d005
10426,Arunas,Luce,d005
10429,Martien,Improta,d005
10432,Hisao,Tiemann,d009
10451,Bodh,Ranta,d004
10453,Tsvetan,Matzel,d009
10463,Ung,Zaiane,d007
10486,Amstein,Kossowski,d006
10494,Yakkov,Servieres,d004
10504,Xiong,Varker,d007
10512,Udi,Gihr,d003
10522,Marke,Cesareni,d003
10548,Ramalingam,Gunderson,d001
10548,Ramalingam,Gunderson,d007
10564,Jianhao,Thisen,d004
10623,Aleksander,Danlos,d005
